occurrence_id,occurrence_identifier
89309,taxa_inventory_occ_89309
89310,taxa_inventory_occ_89310
89311,taxa_inventory_occ_89311
89312,taxa_inventory_occ_89312
89313,taxa_inventory_occ_89313
89314,taxa_inventory_occ_89314
89315,taxa_inventory_occ_89315
89316,taxa_inventory_occ_89316
89317,taxa_inventory_occ_89317
89318,taxa_inventory_occ_89318
89319,taxa_inventory_occ_89319
89320,taxa_inventory_occ_89320
89321,taxa_inventory_occ_89321
89322,taxa_inventory_occ_89322
89323,taxa_inventory_occ_89323
89324,taxa_inventory_occ_89324
89325,taxa_inventory_occ_89325
89326,taxa_inventory_occ_89326
89327,taxa_inventory_occ_89327
89328,taxa_inventory_occ_89328
89329,taxa_inventory_occ_89329
89330,taxa_inventory_occ_89330
89331,taxa_inventory_occ_89331
89332,taxa_inventory_occ_89332
89333,taxa_inventory_occ_89333
89334,taxa_inventory_occ_89334
89335,taxa_inventory_occ_89335
89336,taxa_inventory_occ_89336
89337,taxa_inventory_occ_89337
89338,taxa_inventory_occ_89338
89339,taxa_inventory_occ_89339
89340,taxa_inventory_occ_89340
89341,taxa_inventory_occ_89341
89342,taxa_inventory_occ_89342
89343,taxa_inventory_occ_89343
89344,taxa_inventory_occ_89344
89345,taxa_inventory_occ_89345
89346,taxa_inventory_occ_89346
89347,taxa_inventory_occ_89347
89348,taxa_inventory_occ_89348
89349,taxa_inventory_occ_89349
89350,taxa_inventory_occ_89350
89351,taxa_inventory_occ_89351
89352,taxa_inventory_occ_89352
89353,taxa_inventory_occ_89353
89354,taxa_inventory_occ_89354
89355,taxa_inventory_occ_89355
89356,taxa_inventory_occ_89356
89357,taxa_inventory_occ_89357
89358,taxa_inventory_occ_89358
89359,taxa_inventory_occ_89359
89360,taxa_inventory_occ_89360
89361,taxa_inventory_occ_89361
89362,taxa_inventory_occ_89362
89363,taxa_inventory_occ_89363
89364,taxa_inventory_occ_89364
89365,taxa_inventory_occ_89365
89366,taxa_inventory_occ_89366
89367,taxa_inventory_occ_89367
89368,taxa_inventory_occ_89368
89369,taxa_inventory_occ_89369
89370,taxa_inventory_occ_89370
89371,taxa_inventory_occ_89371
89372,taxa_inventory_occ_89372
89373,taxa_inventory_occ_89373
89374,taxa_inventory_occ_89374
89375,taxa_inventory_occ_89375
89376,taxa_inventory_occ_89376
89377,taxa_inventory_occ_89377
89378,taxa_inventory_occ_89378
89379,taxa_inventory_occ_89379
89380,taxa_inventory_occ_89380
89381,taxa_inventory_occ_89381
89382,taxa_inventory_occ_89382
89383,taxa_inventory_occ_89383
89384,taxa_inventory_occ_89384
89385,taxa_inventory_occ_89385
89386,taxa_inventory_occ_89386
89387,taxa_inventory_occ_89387
89388,taxa_inventory_occ_89388
89389,taxa_inventory_occ_89389
89390,taxa_inventory_occ_89390
89391,taxa_inventory_occ_89391
89392,taxa_inventory_occ_89392
89393,taxa_inventory_occ_89393
89394,taxa_inventory_occ_89394
89395,taxa_inventory_occ_89395
89396,taxa_inventory_occ_89396
89397,taxa_inventory_occ_89397
89398,taxa_inventory_occ_89398
89399,taxa_inventory_occ_89399
89400,taxa_inventory_occ_89400
89401,taxa_inventory_occ_89401
89402,taxa_inventory_occ_89402
89403,taxa_inventory_occ_89403
89404,taxa_inventory_occ_89404
89405,taxa_inventory_occ_89405
89406,taxa_inventory_occ_89406
89407,taxa_inventory_occ_89407
89408,taxa_inventory_occ_89408
89409,taxa_inventory_occ_89409
89410,taxa_inventory_occ_89410
89411,taxa_inventory_occ_89411
89412,taxa_inventory_occ_89412
89413,taxa_inventory_occ_89413
89414,taxa_inventory_occ_89414
89415,taxa_inventory_occ_89415
89416,taxa_inventory_occ_89416
89417,taxa_inventory_occ_89417
89418,taxa_inventory_occ_89418
89419,taxa_inventory_occ_89419
89420,taxa_inventory_occ_89420
89421,taxa_inventory_occ_89421
89422,taxa_inventory_occ_89422
89423,taxa_inventory_occ_89423
89424,taxa_inventory_occ_89424
89425,taxa_inventory_occ_89425
89426,taxa_inventory_occ_89426
89427,taxa_inventory_occ_89427
89428,taxa_inventory_occ_89428
89429,taxa_inventory_occ_89429
89430,taxa_inventory_occ_89430
89431,taxa_inventory_occ_89431
89432,taxa_inventory_occ_89432
89433,taxa_inventory_occ_89433
89434,taxa_inventory_occ_89434
89435,taxa_inventory_occ_89435
89436,taxa_inventory_occ_89436
89437,taxa_inventory_occ_89437
89438,taxa_inventory_occ_89438
89439,taxa_inventory_occ_89439
89440,taxa_inventory_occ_89440
89441,taxa_inventory_occ_89441
89442,taxa_inventory_occ_89442
89443,taxa_inventory_occ_89443
89444,taxa_inventory_occ_89444
89445,taxa_inventory_occ_89445
89446,taxa_inventory_occ_89446
89447,taxa_inventory_occ_89447
89448,taxa_inventory_occ_89448
89449,taxa_inventory_occ_89449
89450,taxa_inventory_occ_89450
89451,taxa_inventory_occ_89451
89452,taxa_inventory_occ_89452
89453,taxa_inventory_occ_89453
89454,taxa_inventory_occ_89454
89455,taxa_inventory_occ_89455
89456,taxa_inventory_occ_89456
89475,taxa_inventory_occ_89475
89476,taxa_inventory_occ_89476
89477,taxa_inventory_occ_89477
89478,taxa_inventory_occ_89478
89479,taxa_inventory_occ_89479
89480,taxa_inventory_occ_89480
89481,taxa_inventory_occ_89481
89482,taxa_inventory_occ_89482
89483,taxa_inventory_occ_89483
89484,taxa_inventory_occ_89484
89485,taxa_inventory_occ_89485
89486,taxa_inventory_occ_89486
89487,taxa_inventory_occ_89487
89488,taxa_inventory_occ_89488
89489,taxa_inventory_occ_89489
89490,taxa_inventory_occ_89490
89491,taxa_inventory_occ_89491
89492,taxa_inventory_occ_89492
89474,taxa_inventory_occ_89474
89473,taxa_inventory_occ_89473
89472,taxa_inventory_occ_89472
89471,taxa_inventory_occ_89471
89470,taxa_inventory_occ_89470
89469,taxa_inventory_occ_89469
89468,taxa_inventory_occ_89468
89467,taxa_inventory_occ_89467
89466,taxa_inventory_occ_89466
89465,taxa_inventory_occ_89465
89464,taxa_inventory_occ_89464
89463,taxa_inventory_occ_89463
89462,taxa_inventory_occ_89462
89461,taxa_inventory_occ_89461
89460,taxa_inventory_occ_89460
89459,taxa_inventory_occ_89459
89458,taxa_inventory_occ_89458
89457,taxa_inventory_occ_89457
89493,taxa_inventory_occ_89493
89494,taxa_inventory_occ_89494
89495,taxa_inventory_occ_89495
89496,taxa_inventory_occ_89496
89497,taxa_inventory_occ_89497
89498,taxa_inventory_occ_89498
89499,taxa_inventory_occ_89499
89500,taxa_inventory_occ_89500
89501,taxa_inventory_occ_89501
89519,taxa_inventory_occ_89519
89520,taxa_inventory_occ_89520
89521,taxa_inventory_occ_89521
89522,taxa_inventory_occ_89522
89523,taxa_inventory_occ_89523
89524,taxa_inventory_occ_89524
89525,taxa_inventory_occ_89525
89526,taxa_inventory_occ_89526
89527,taxa_inventory_occ_89527
89528,taxa_inventory_occ_89528
89529,taxa_inventory_occ_89529
89530,taxa_inventory_occ_89530
89531,taxa_inventory_occ_89531
89532,taxa_inventory_occ_89532
89533,taxa_inventory_occ_89533
89534,taxa_inventory_occ_89534
89535,taxa_inventory_occ_89535
89620,taxa_inventory_occ_89620
89621,taxa_inventory_occ_89621
89622,taxa_inventory_occ_89622
89623,taxa_inventory_occ_89623
89624,taxa_inventory_occ_89624
89625,taxa_inventory_occ_89625
89626,taxa_inventory_occ_89626
89627,taxa_inventory_occ_89627
89628,taxa_inventory_occ_89628
89629,taxa_inventory_occ_89629
89630,taxa_inventory_occ_89630
89631,taxa_inventory_occ_89631
89632,taxa_inventory_occ_89632
